;;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;
;;январь 1999 г.;январь 2000 г.;январь 2001 г.;январь 2002 г.;январь 2003 г.;январь 2004 г.;январь 2005 г.;январь 2006 г.;январь 2007 г.;январь 2008 г.;январь 2009 г.;январь 2010 г.;январь 2011 г.;январь 2012 г.;январь 2013 г.;январь 2014 г.;январь 2015 г.;январь 2016 г.;январь 2017 г.;январь 2018 г.;январь 2019 г.;январь 2020 г.;январь 2021 г.;январь 2022 г.;
все население;w2:p_mest:11;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1116371;1099389;1082207;1063269;1045878;1039132;1032297;1025442;1017901;1009016;1000711;993018;982887;980482;975188;967896;964791;958630;953201;949348;942363;934889;921127;909856;
Тамбовская область;68000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1247855;1231054;1213591;1193381;1174233;1161854;1150828;1138550;1127014;1116438;1107810;1099650;1089700;1082545;1075748;1068934;1062421;1050295;1040327;1033552;1015966;1006748;994420;980984;
Тверская область;28000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1566617;1543796;1519569;1491451;1465568;1447825;1432612;1415272;1398847;1386952;1375415;1365329;1350086;1342200;1334061;1325249;1315071;1304744;1296799;1283873;1269636;1260379;1245619;1230190;
Тульская область;70000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1765958;1743368;1719665;1694008;1669792;1649221;1631778;1615194;1600138;1587959;1576346;1564654;1550330;1544545;1532436;1521497;1513570;1506446;1499417;1491855;1478818;1466127;1449115;1432570;
Ярославская область;78000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1419433;1406111;1393727;1378417;1364374;1347055;1329799;1312813;1299965;1292536;1286122;1280088;1271006;1271030;1271672;1271766;1271629;1271912;1270736;1265684;1259612;1253389;1241424;1227383;
Город Москва столица Российской Федерации город федерального значения;45000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;9783242;9932932;10114203;10269900;10386903;10535681;10726429;10923762;11091428;11186851;11281631;11382161;11776764;11856578;11979529;12108257;12197596;12330126;12380664;12506468;12615279;12678079;12655050;12635466;
Северо-Западный федеральный округ;031;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;14465718;14323567;14198896;14072968;13948539;13860249;13793490;13716390;13665082;13630877;13611910;13604203;13625763;13660139;13717733;13800658;13843556;13853694;13899310;13952003;13972070;13981992;13941959;13901069;
Республика Карелия;86000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;743573;735462;728813;721538;715213;702847;689601;676041;665032;659404;653766;648718;642582;639681;636932;634402;632533;629875;627083;622484;618056;614064;609071;603067;
Республика Коми;87000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1077990;1057873;1042880;1029644;1016040;999857;982890;962952;944816;934867;922321;911977;899215;889837;880639;872057;864424;856831;850554;840873;830235;820473;813590;803477;
Архангельская область;11000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1414144;1390334;1369118;1350448;1332655;1315549;1299218;1281838;1266667;1257164;1246204;1237493;1224880;1213533;1202295;1191785;1183323;1174078;1165750;1155028;1144119;1136535;1127051;1114322;
Ненецкий автономный округ (Архангельская область);11100000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;41513;41174;40931;40896;41699;41881;41906;41914;41854;41900;41857;42115;42104;42437;42789;43025;43373;43838;43937;43997;43829;44111;44389;44540;
Архангельская область (кроме Ненецкого автономного округа);11001000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;1273668;1257312;1239924;1224813;1215264;1204347;1195378;1182776;1171096;1159506;1148760;1139950;1130240;1121813;1111031;1100290;1092424;1082662;1069782;
Вологодская область;19000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1309832;1299611;1290370;1278543;1266848;1255924;1245769;1234940;1225780;1219775;1214135;1208364;1201190;1198546;1196196;1193371;1191010;1187685;1183860;1176689;1167713;1160445;1151042;1139499;
Калининградская область;27000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;961257;958782;957533;955449;954093;947887;942098;936574;934330;935297;936613;938633;941823;946796;954773;963128;968944;976439;986261;994599;1002187;1012512;1018624;1027678;
Ленинградская область;41000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1693301;1686716;1680358;1672685;1667150;1673287;1681445;1685376;1691111;1692577;1698900;1704905;1718581;1733907;1751135;1763924;1775540;1778857;1791916;1813816;1847867;1875872;1892711;1911586;
Мурманская область;47000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;964065;941062;922875;905735;889809;873145;856939;839429;823978;815140;805554;799765;794077;787948;780401;771058;766281;762173;757621;753557;748056;741404;732864;724452;
Новгородская область;49000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;726027;718565;710261;700859;692138;682965;674519;665616;657584;652198;645369;639697;632799;629748;625855;622430;618703;615692;612522;606476;600296;596508;592415;586129;
Псковская область;58000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;804632;793239;781844;769653;758119;746750;734520;720770;708234;699591;690335;681892;671272;666924;661507;656561;651108;646374;642164;636546;629651;626115;620249;613356;
Город Санкт-Петербург город федерального значения;40000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;4770897;4741923;4714844;4688414;4656474;4662038;4686491;4712854;4747550;4764864;4798713;4832759;4899344;4953219;5028000;5131942;5191690;5225690;5281579;5351935;5383890;5398064;5384342;5377503;
Южный федеральный округ (по 2009 год);032;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;22719026;22742546;22761875;22853022;;;;;;;;;;;;;;;;;;;;;
Южный федеральный округ (с 2010 года);037;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;13905906;13870776;13837111;13820436;13826878;13844553;13853714;13851364;13884044;13910179;13963874;14003828;14044580;;;;;;;
Южный федеральный округ (с 29.07.2016);040;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;;;;;;;;;;;;;;16428458;16441852;16454550;16466084;16482488;16434898;
Республика Адыгея (Адыгея);79000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;450358;449052;447327;446628;446828;444848;443300;440993;438603;437900;439380;439760;439935;442451;444403;446406;449171;451480;453366;453376;454744;463088;463167;468340;
Республика Калмыкия;85000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;310457;308347;307281;297583;291850;292168;293179;293515;293011;291654;290277;289672;288902;286689;284140;282021;280564;278733;277803;275413;272647;271135;269984;267756;
Республика Крым;35000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;;;;;;;;;;;;1895915;1907106;1912168;1913731;1911818;1912622;1901578;1896393;
Краснодарский край;03000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;5130451;5133449;5132798;5131618;5119857;5114905;5118903;5127251;5142911;5170686;5194439;5214222;5229998;5284464;5330181;5404273;5453329;5513804;5570945;5603420;5648235;5675462;5683947;5687378;
Астраханская область;12000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1016372;1012385;1009281;1005510;1004780;1006073;1006467;1002517;1001300;1005897;1009926;1011120;1009801;1014972;1013840;1016516;1021287;1018626;1018866;1017514;1014065;1005782;997778;989430;
Волгоградская область;18000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2750443;2738531;2725433;2709610;2694232;2672392;2656212;2640392;2629959;2623128;2618062;2614165;2607505;2594825;2583002;2569126;2557397;2545937;2535202;2521276;2507509;2491036;2474556;2449781;
Ростовская область;60000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;4475367;4454446;4439314;4417648;4396672;4375520;4352715;4332443;4314652;4297613;4292469;4284775;4275223;4260643;4254613;4245532;4242080;4236000;4231355;4220452;4202320;4197821;4181486;4153763;
Город федерального значения Севастополь;67000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;;;;;;;;;;;;398973;416263;428753;436670;443212;449138;509992;522057;
Северо-Кавказский федеральный округ;038;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;8967070;8994605;9036760;9090540;9186974;9267593;9353182;9439041;9492909;9540758;9590085;9659044;9718001;9775770;9823481;9866748;9930933;9967301;9997336;
Республика Дагестан;82000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2392292;2442609;2486002;2536077;2581412;2617502;2652711;2692619;2735837;2788600;2826525;2868759;2914204;2930449;2946035;2963918;2990371;3015660;3041900;3063885;3086126;3110858;3133303;3153857;
Республика Ингушетия;26000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;301745;340028;445443;455519;468773;451933;433685;417392;406739;406621;409210;411736;414524;430495;442255;453010;463893;472776;480474;488043;497393;507061;515564;524058;
Кабардино-Балкарская Республика;83000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;870822;878990;886698;894356;901051;889639;877308;866158;858460;857282;858126;859576;859792;859063;858946;858397;860709;862254;864454;865828;866219;868350;869191;870487;
Карачаево-Черкесская Республика;91000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;441281;439981;440621;439803;438853;444342;450220;454487;461650;466366;470064;473792;477403;474675;471847;469837;469060;467797;466432;466305;465563;465528;465357;464219;
Республика Северная Осетия-Алания;90000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;684130;693564;704351;709630;709671;707679;706393;706896;708800;711509;711661;711725;712481;709032;706123;703977;705270;703745;703262;701765;699253;696837;693098;688124;
Чеченская Республика;96000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1159839;1110237;996427;1072867;1105378;1116910;1133172;1152335;1171975;1196920;1224389;1249898;1275113;1302165;1324767;1346438;1370268;1394172;1414865;1436981;1456951;1478726;1497992;1516387;
Ставропольский край;07000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2735469;2740927;2740899;2736173;2732502;2739065;2741116;2746873;2747079;2759676;2767618;2777696;2785524;2787030;2790785;2794508;2799473;2801597;2804383;2800674;2795243;2803573;2792796;2780204;
Приволжский федеральный округ;033;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;31837053;31703297;31531441;31316013;31104512;30893142;30678744;30453210;30264056;30146854;30052943;29993193;29879753;29811477;29772235;29738836;29715450;29673644;29636574;29542696;29397213;29287683;29070827;28844264;
Республика Башкортостан;80000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;4117545;4119810;4115176;4108249;4102274;4094215;4081349;4066257;4053439;4054821;4059373;4068545;4072085;4064245;4060957;4069698;4071987;4071064;4066972;4063293;4051005;4038151;4013786;4001678;
Республика Марий Эл;88000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;747446;743828;739091;732774;726730;722703;718260;713422;708546;704949;701609;699389;695482;692435;690349;688686;687435;685865;684684;682333;680380;679417;675332;671455;
Республика Мордовия;89000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;927437;918443;908152;897136;886165;878299;871848;864704;857903;851658;844962;839184;833263;825454;818566;812156;808888;807453;808541;805056;795504;790197;778965;770673;
Республика Татарстан (Татарстан);92000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;3789259;3789688;3786845;3781867;3777667;3773105;3768167;3761600;3763106;3766778;3773526;3784458;3787485;3803189;3822038;3838230;3855037;3868730;3885253;3894284;3898628;3902888;3894120;3886395;
Удмуртская Республика;94000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1601409;1595571;1588054;1578187;1568176;1561092;1554292;1545820;1538602;1532946;1528236;1525117;1520390;1518091;1517692;1517050;1517472;1517164;1516826;1513044;1507390;1500955;1493356;1484460;
Чувашская Республика - Чувашия;97000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1338819;1334219;1327743;1319498;1311737;1301632;1291065;1278903;1268614;1263016;1258239;1255852;1250518;1247012;1243431;1239984;1238071;1236628;1235863;1231117;1223395;1217818;1207875;1198429;
Пермский край;57000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2896771;2878903;2858588;2837146;2813770;2783049;2751562;2718765;2691600;2673957;2660359;2648654;2633550;2631073;2634461;2636154;2637032;2634409;2632097;2623122;2610800;2599260;2579261;2556852;
Коми-Пермяцкий округ, входящий в состав Пермского края;57100000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;139790;138877;137648;136608;;;;;;;;;;;;;;;;;;;;;
Кировская область;33000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1568722;1553595;1536772;1518378;1498976;1472481;1445356;1418645;1396017;1379383;1365003;1352692;1338758;1327915;1319076;1310929;1304348;1297474;1291684;1283238;1272109;1262402;1250173;1234780;
Нижегородская область;22000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;3655489;3628222;3594476;3554696;3515673;3481080;3447896;3414325;3384358;3362817;3343719;3326812;3307648;3296947;3289841;3281496;3270203;3260267;3247713;3234752;3214623;3202946;3176552;3144254;
Оренбургская область;53000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2217558;2211204;2203616;2189876;2176000;2149942;2122459;2093495;2067890;2055701;2044256;2042043;2031497;2023665;2016086;2008566;2001110;1994762;1989589;1977720;1963007;1956835;1942915;1924578;
Пензенская область;56000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1514283;1500196;1484149;1466215;1449233;1439986;1431060;1420065;1411733;1405351;1398160;1392414;1384006;1376538;1368657;1360587;1355618;1348703;1341526;1331655;1318103;1305563;1290898;1274062;
Самарская область;36000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;3302566;3291598;3275823;3254055;3235699;3229151;3225275;3225643;3223938;3220938;3221513;3220910;3215311;3214065;3213289;3211187;3212676;3205975;3203679;3193514;3183038;3179532;3154164;3131720;
Саратовская область;63000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2719990;2710645;2699385;2682054;2663481;2639528;2615575;2591231;2572396;2558322;2545296;2535434;2519282;2508754;2503305;2496552;2493024;2487529;2479260;2462950;2440815;2421895;2395111;2360959;
Ульяновская область;73000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1439759;1427375;1413571;1395882;1378931;1366879;1354580;1340335;1325914;1316217;1308692;1301689;1290478;1282094;1274487;1267561;1262549;1257621;1252887;1246618;1238416;1229824;1218319;1203969;
Уральский федеральный округ;034;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;12574168;12515498;12471257;12417742;12361257;12284550;12205194;12128731;12080328;12074325;12076020;12087670;12086939;12143438;12197544;12234224;12275853;12308103;12345803;12356229;12350122;12360752;12329500;12294961;
Курганская область;37000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1068503;1059515;1047114;1030748;1016184;999446;981029;961815;946068;934512;925180;918585;908813;896264;885759;877149;869814;861896;854109;845537;834701;827166;818570;805510;
Свердловская область;65000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;4607587;4577515;4545942;4514084;4477552;4434165;4394041;4356425;4330579;4320114;4314337;4308472;4297227;4307594;4315830;4320677;4327472;4330006;4329341;4325256;4315699;4310681;4290067;4264340;
Тюменская область;71000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;3226093;3218356;3234252;3251484;3269862;3281655;3288337;3293830;3306698;3330607;3351694;3378795;3405265;3459438;3510683;3546345;3581293;3615485;3660030;3692400;3723969;3756536;3778053;3806505;
Ханты-Мансийский автономный округ - Югра (Тюменская область);71100000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1359069;1359646;1383449;1411867;1437729;1453541;1462194;1467792;1475188;1491240;1504319;1521222;1537134;1561238;1584063;1597248;1612076;1626755;1646078;1655074;1663795;1674676;1687654;1702240;
Ямало-Ненецкий автономный округ (Тюменская область);71140000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;498996;496292;498271;503121;508600;510846;514581;517385;521621;524012;522966;524141;524925;536558;541612;539671;539985;534104;536049;538547;541479;544444;547010;552117;
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);71001000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;1317268;1311562;1308653;1309889;1315355;1324409;1333432;1343206;1361642;1385008;1409426;1429232;1454626;1477903;1498779;1518695;1537416;1543389;1552148;
Челябинская область;75000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;3671985;3660112;3643949;3621426;3597659;3569284;3541787;3516661;3496983;3489092;3484809;3481818;3475634;3480142;3485272;3490053;3497274;3500716;3502323;3493036;3475753;3466369;3442810;3418606;
Сибирский федеральный округ;035;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;20604840;20464285;20333014;20178131;20030930;19849333;19676568;19494972;19360336;19303246;19281965;19286955;19251876;19260935;19278201;19292740;19312169;19324031;19326196;19287474;;;;;
Сибирский федеральный округ;041;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;;;;;;;;;;;;;;;;17173335;17118387;17003927;16889404;
Республика Алтай;84000000000;;;;;;;;;;;;;;;;;;;;;;;;;
